date,open,close,high,low,volume,money
2025-11-07,19.49,19.48,19.71,19.16,3959124.0,76750284.14
2025-11-10,19.58,19.47,19.76,19.34,2863352.0,55844862.42
2025-11-11,19.62,19.26,19.75,19.19,3204482.0,62209624.81
2025-11-12,19.26,19.02,19.26,18.91,3114180.0,59234735.67
2025-11-13,18.92,19.05,19.13,18.92,2529554.0,48126756.75
2025-11-14,18.95,18.85,19.13,18.81,2338128.0,44364576.67
2025-11-17,19.0,19.26,19.3,18.81,2753972.0,52615483.02
2025-11-18,19.2,19.71,19.79,19.06,5695829.0,111133679.1
2025-11-19,19.79,19.18,19.79,19.09,2807960.0,54263063.79
2025-11-20,19.21,18.84,19.48,18.82,2418802.0,45874807.68
2025-11-21,18.7,18.32,19.04,18.12,3365096.0,62300343.03
2025-11-24,18.35,18.78,18.89,18.05,3191443.0,59024601.75
2025-11-25,18.78,19.06,19.45,18.78,4200398.0,80760089.37
2025-11-26,19.1,18.66,19.31,18.62,2496730.0,47164479.27
2025-11-27,18.75,19.16,19.43,18.45,4207041.0,79791821.21
2025-11-28,19.14,19.53,20.25,18.94,5420940.0,105488660.33
2025-12-01,19.44,19.19,19.44,18.9,4849890.0,92970709.81
2025-12-02,19.37,18.74,19.37,18.7,2665449.0,50237561.02
2025-12-03,18.39,18.04,18.72,17.93,4722994.0,85998068.69
2025-12-04,17.88,18.01,18.28,17.45,3060165.0,54582599.52
2025-12-05,17.93,18.48,18.58,17.67,3457923.0,63099072.94
2025-12-08,18.5,18.47,18.8,18.45,3230447.0,60134800.82
2025-12-09,18.47,18.19,18.59,18.19,1651563.0,30327870.1
2025-12-10,18.19,18.0,18.48,17.76,2291831.0,41144543.35
2025-12-11,18.0,17.72,18.08,17.7,1808704.0,32304611.11
2025-12-12,17.61,18.24,18.35,17.61,3253443.0,58785507.18
2025-12-15,18.28,18.09,18.47,17.92,2067877.0,37689128.7
2025-12-16,18.09,17.74,18.25,17.7,1495202.0,26658490.01
2025-12-17,17.81,17.77,17.88,17.38,2174197.0,38311771.13
2025-12-18,17.77,17.98,18.19,17.7,1806680.0,32470334.81
2025-12-19,18.1,18.3,19.24,17.98,5464980.0,102730737.95
2025-12-22,18.3,18.14,18.51,18.0,3030828.0,55144115.59
2025-12-23,18.97,17.87,18.97,17.87,3681798.0,66959798.74
2025-12-24,17.92,17.97,18.29,17.76,2493541.0,44822185.24
2025-12-25,17.85,18.25,18.63,17.8,3182829.0,57958615.65
2025-12-26,18.6,18.98,20.05,18.5,11941841.0,232293928.96
2025-12-29,18.99,19.31,19.91,18.76,8284287.0,159648399.14
2025-12-30,19.31,18.7,19.48,18.68,5607361.0,106923684.38
2025-12-31,18.86,19.4,19.9,18.5,7741709.0,148127905.83
